Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Myzomela eques,45.5,60,13.9,Mean,Meliphagidae,Passeriformes,16.8,69.1,54.2,54.2
Myzomela erythrocephala,39,43.3,7.8,Mean,Meliphagidae,Passeriformes,15.6,58.1,39.9,39.9
Myzomela erythromelas,32.5,32,8,Mean,Meliphagidae,Passeriformes,14,51.2,32.4,32.4
Myzomela irianawidodoae,NA,39.3,32.2,Mean,Meliphagidae,Passeriformes,15.1,56.7,39.3,39.3
Myzomela jugularis,35.75,35,8.7,Mean,Meliphagidae,Passeriformes,16.8,56.9,35.3,35.3
Myzomela kuehni,NA,40,10.8,Mean,Meliphagidae,Passeriformes,17.5,57.5,40,40
Myzomela lafargei,41.25,44.33333333,12.8,Mean,Meliphagidae,Passeriformes,16.3,62,41.7,41.7
Myzomela malaitae,47,50.16666667,13.8,Mean,Meliphagidae,Passeriformes,17.4,64.8,49.4,49.4
Myzomela melanocephala,42.5,45.66666667,12,Mean,Meliphagidae,Passeriformes,15.7,60.4,44.4,44.4
Myzomela nigrita,38.875,41,9.3,Mean,Meliphagidae,Passeriformes,14.1,56.6,39.6,39.6
Myzomela obscura,50.2,55.58333333,11.9,Mean,Meliphagidae,Passeriformes,17.4,67.8,51.7,51.7
Myzomela prawiradilagae,NA,45,9.3,Mean,Meliphagidae,Passeriformes,17.2,62.1,45,45
Myzomela pulchella,NA,45,10,Mean,Meliphagidae,Passeriformes,16.7,67,45,45
Myzomela rosenbergii,38.5,41.66666667,10.3,Mean,Meliphagidae,Passeriformes,15,61.7,39.8,39.8
Myzomela rubratra,53,54,14,Mean,Meliphagidae,Passeriformes,21.7,74.6,53.8,53.8
Myzomela sanguinolenta,33,36.1,8.3,Mean,Meliphagidae,Passeriformes,13.6,57.8,34.6,34.6
Myzomela sclateri,41.5,43.75,10.5,Mean,Meliphagidae,Passeriformes,16.6,61,42.6,42.6
Myzomela tristrami,45,49.66666667,13.3,Mean,Meliphagidae,Passeriformes,18.3,64,47.8,47.8
Myzomela vulnerata,NA,40.16666667,6.9,Mean,Meliphagidae,Passeriformes,15.7,55.8,38.8,38.8
Myzomela wahe,NA,39,8,Mean,Meliphagidae,Passeriformes,10.7,57,39,39
Myzomela wakoloensis,NA,40.25,7.9,Mean,Meliphagidae,Passeriformes,14.7,52.5,36.6,36.6
Myzornis pyrrhoura,47,46.33333333,11.9,Mean,Sylviidae,Passeriformes,23.2,58,46.6,46.6
Napothera albostriata,43,NA,19.4,Mean,Pellorneidae,Passeriformes,27.2,62.5,43,43
Napothera danjoui,59.5,84,35.5,Mean,Pellorneidae,Passeriformes,29.6,79.3,67.7,67.7
Napothera epilepidota,NA,28.28571429,16,Mean,Pellorneidae,Passeriformes,22,55.1,28.3,28.3
Napothera malacoptila,29,NA,19.4,Mean,Pellorneidae,Passeriformes,23.4,57.6,32,32
Napothera naungmungensis,58,NA,35.5,Mean,Pellorneidae,Passeriformes,29.8,78,58,58
Napothera pasquieri,NA,23,19.4,Mean,Pellorneidae,Passeriformes,23.3,59.5,23,23
Nasica longirostris,NA,131.6666667,92,Mean,Furnariidae,Passeriformes,27.6,136.3,130.8,130.8
Nectarinia bocagii,58.5,94.5,14.8,Mean,Nectariniidae,Passeriformes,16.4,69,76.5,76.5
Nectarinia famosa,50,114.375,14.4,Mean,Nectariniidae,Passeriformes,15.7,68.8,82.2,82.2
Nectarinia johnstoni,49.5,163.8,15.2,Mean,Nectariniidae,Passeriformes,17.8,76.9,113,113
Nectarinia kilimensis,53,114.3,15.7,Mean,Nectariniidae,Passeriformes,17.7,70.8,87.1,87.1
Nectarinia purpureiventris,55,135.5,11.5,Mean,Nectariniidae,Passeriformes,15.9,61.8,95.2,95.2
Nectarinia tacazze,56,108,14.9,Mean,Nectariniidae,Passeriformes,18.1,76.1,84.9,84.9
Nemosia pileata,45.58333333,48.28333333,16,Mean,Thraupidae,Passeriformes,17.2,68.4,47.4,47.4
Nemosia rourei,NA,56.9,22,Mean,Thraupidae,Passeriformes,19,84.5,56.9,56.9
Nengetus cinereus,90.04,92.76666667,57.1,Mean,Tyrannidae,Passeriformes,29,136.1,91.1,91.1
Neochmia phaeton,56.33333333,66.33333333,10,Mean,Estrildidae,Passeriformes,15.1,50.7,61.8,61.8
Neochmia temporalis,48.41666667,48.5,11.4,Mean,Estrildidae,Passeriformes,15.3,52,48.4,48.4
Neocichla gutturalis,83.5,89.5,66.7,Mean,Sturnidae,Passeriformes,30.3,107.8,86.5,86.5
Neocossyphus finschi,81,86.33333333,37,Mean,Turdidae,Passeriformes,21.2,97.8,83.7,83.7
Neocossyphus fraseri,76,75.14285714,35.7,Mean,Turdidae,Passeriformes,20.6,94.1,77.9,77.9
Neocossyphus poensis,88,91.5,51.8,Mean,Turdidae,Passeriformes,28.4,101.6,84.8,84.8
Neocossyphus rufus,102.5,102.6666667,65.9,Mean,Turdidae,Passeriformes,28.4,106,91.7,91.7
Neoctantes niger,55.94,55.875,32,Mean,Thamnophilidae,Passeriformes,23.9,74.2,54.3,54.3
Neodrepanis coruscans,19.5,21.5,6.5,Mean,Philepittidae,Passeriformes,14.7,46.6,22.6,22.6
Neodrepanis hypoxantha,25,29,7.1,Mean,Philepittidae,Passeriformes,15.3,47.5,27,27
Neolalage banksiana,64.5,60.33333333,16.8,Mean,Monarchidae,Passeriformes,21.5,75.5,61.1,61.1
Neolestes torquatus,63,65.5,22.5,Mean,Pycnonotidae,Passeriformes,20.5,69.2,64.2,64.2
Neomixis striatigula,39,40,8.3,Mean,Cisticolidae,Passeriformes,16.1,43.8,39.6,39.6
Neomixis tenella,28.5,33.66666667,6.9,Mean,Cisticolidae,Passeriformes,16,42,31.6,31.6
Neomixis viridis,32,32.5,7,Mean,Cisticolidae,Passeriformes,15.2,43.5,32.2,32.2
Neopelma chrysocephalum,46,47,15.5,Mean,Pipridae,Passeriformes,15.2,65.2,46.5,46.5
Neopelma pallescens,56.65714286,62.2875,18.2,Mean,Pipridae,Passeriformes,15.2,72.2,59.4,59.4
Neopelma sulphureiventer,54.66666667,59,15.7,Mean,Pipridae,Passeriformes,15.7,71.8,57.4,57.4
Neophedina cincta,65.06,62.35,23.4,Mean,Hirundinidae,Passeriformes,13.4,131,63.6,63.6
Neopipo cinnamomea,35,34,7.7,Mean,Tyrannidae,Passeriformes,13.7,50.4,34.8,34.8
Neosuthora davidiana,38,40.66666667,8.5,Mean,Sylviidae,Passeriformes,17.7,49.3,39.6,39.6
Neothraupis fasciata,58,65.66666667,26.8,Mean,Thraupidae,Passeriformes,22.8,71.5,62.6,62.6
Neoxolmis coronatus,88.5,93.7,46.8,Mean,Tyrannidae,Passeriformes,29,126.7,91.1,91.1
Neoxolmis rubetra,77.86666667,82.5,36.3,Mean,Tyrannidae,Passeriformes,29.5,118.2,80.5,80.5
Neoxolmis rufiventris,87,94.16666667,77,Mean,Tyrannidae,Passeriformes,36.2,151.8,91.3,91.3
Neoxolmis salinarum,NA,75,25.1,Mean,Tyrannidae,Passeriformes,26.8,106.3,75,75
Nephelomyias lintoni,42,54,9.8,Mean,Tyrannidae,Passeriformes,16.5,59,48.7,48.7
Nephelomyias ochraceiventris,60,68.5,10.5,Mean,Tyrannidae,Passeriformes,18,65.8,65.4,65.4
Nephelomyias pulcher,41.15,42.75,9.5,Mean,Tyrannidae,Passeriformes,15.4,54.1,42.1,42.1
Nephelornis oneilli,59.5,61.5,16.1,Mean,Thraupidae,Passeriformes,22.2,68,60.5,60.5
