Species2_eBird,mean_Tail.LengthF,mean_Tail.LengthM,Mass,Sex,Family2,Order2,Tarsus.Length,Wing.Length,Tail.Length,Tail.Length.2
Prionochilus olivaceus,29.5,26.5,9.4,Mean,Dicaeidae,Passeriformes,12.7,55,27.5,27.5
Prionochilus percussus,24,32.33333333,8.5,Mean,Dicaeidae,Passeriformes,13.4,54.2,30.2,30.2
Prionochilus plateni,27,26.66666667,8.5,Mean,Dicaeidae,Passeriformes,14.8,50.7,26.8,26.8
Prionochilus thoracicus,NA,29.6,8.9,Mean,Dicaeidae,Passeriformes,15,62.2,29.6,29.6
Prionochilus xanthopygius,22.6,25.22,7.6,Mean,Dicaeidae,Passeriformes,13.5,51.8,24.2,24.2
Prionops alberti,99,98,61.3,Mean,Vangidae,Passeriformes,21.8,129.9,98.5,98.5
Prionops caniceps,83.5,75.33333333,48.2,Mean,Vangidae,Passeriformes,19.9,116,78.6,78.6
Prionops gabela,79.5,NA,50.1,Mean,Vangidae,Passeriformes,19.9,107.8,79.5,79.5
Prionops plumatus,93.5,93.375,33.8,Mean,Vangidae,Passeriformes,22.5,107.8,88.5,88.5
Prionops poliolophus,102,NA,49,Mean,Vangidae,Passeriformes,24.7,130.7,101.3,101.3
Prionops retzii,101,95.5,50.1,Mean,Vangidae,Passeriformes,22.3,131.8,95.4,95.4
Prionops rufiventris,77.5,71.66666667,50,Mean,Vangidae,Passeriformes,19.3,109.4,74,74
Prionops scopifrons,83,79.33333333,29.4,Mean,Vangidae,Passeriformes,18,97.6,80.8,80.8
Procarduelis nipalensis,57.75,65.83333333,22.1,Mean,Fringillidae,Passeriformes,20.5,86.1,62.6,62.6
Procnias albus,75,91,210,Mean,Cotingidae,Passeriformes,26.8,150.5,83,83
Procnias averano,NA,97,146.1,Mean,Cotingidae,Passeriformes,29.4,152.7,88,88
Procnias nudicollis,83.5,82,172,Mean,Cotingidae,Passeriformes,29.4,148.4,82.6,82.6
Procnias tricarunculatus,NA,113.25,210,Mean,Cotingidae,Passeriformes,29.4,166,113.2,113.2
Progne chalybea,58.225,67.1,50,Mean,Hirundinidae,Passeriformes,13.5,130.6,66.4,66.4
Progne cryptoleuca,70,77,46,Mean,Hirundinidae,Passeriformes,15,141.8,73.5,73.5
Progne dominicensis,81,73.55,39.6,Mean,Hirundinidae,Passeriformes,14.5,142.4,75.6,75.6
Progne elegans,75.86666667,80.325,50.6,Mean,Hirundinidae,Passeriformes,14.3,141.9,79.2,79.2
Progne modesta,69,68.83333333,41.4,Mean,Hirundinidae,Passeriformes,14.2,126.1,68.9,68.9
Progne murphyi,68,66,41.4,Mean,Hirundinidae,Passeriformes,13.1,132,67,67
Progne sinaloae,79.75,75.5,42.6,Mean,Hirundinidae,Passeriformes,14.1,138.9,77.6,77.6
Progne subis,71.675,73,53.8,Mean,Hirundinidae,Passeriformes,15,147.2,72.4,72.4
Progne tapera,61.92,64.1,32,Mean,Hirundinidae,Passeriformes,13.2,128.3,62.7,62.7
Promerops cafer,281,214,34.7,Mean,Promeropidae,Passeriformes,23.5,93.6,284,284
Promerops gurneyi,122,153.5333333,34.9,Mean,Promeropidae,Passeriformes,21.8,88.8,144.5,144.5
Prosthemadera novaeseelandiae,129,122.6,105.8,Mean,Meliphagidae,Passeriformes,36.5,147.8,118.8,118.8
Protonotaria citrea,40.66666667,44.625,14.3,Mean,Parulidae,Passeriformes,18.3,68.9,42.7,42.7
Prunella atrogularis,65,68,18.5,Mean,Prunellidae,Passeriformes,19.2,73.6,66.5,66.5
Prunella collaris,59,67,38.6,Mean,Prunellidae,Passeriformes,23.6,100,63.8,63.8
Prunella fagani,61,66,22.5,Mean,Prunellidae,Passeriformes,20.7,68.6,64,64
Prunella fulvescens,65,68.66666667,18.9,Mean,Prunellidae,Passeriformes,20.2,75.1,67.2,67.2
Prunella himalayana,57,62.5,25.7,Mean,Prunellidae,Passeriformes,21.4,90.6,59.8,59.8
Prunella immaculata,60.5,56.66666667,20.7,Mean,Prunellidae,Passeriformes,21.5,79.1,58.2,58.2
Prunella koslowi,64.5,65,17.5,Mean,Prunellidae,Passeriformes,19.4,70.8,64.8,64.8
Prunella modularis,61.25,58.95454545,20.2,Mean,Prunellidae,Passeriformes,20.4,69.1,59.6,59.6
Prunella montanella,67,66,17,Mean,Prunellidae,Passeriformes,18.9,72.1,66.4,66.4
Prunella ocularis,65.66666667,67,22.5,Mean,Prunellidae,Passeriformes,20.1,73.4,66.2,66.2
Prunella rubeculoides,61,69,23.9,Mean,Prunellidae,Passeriformes,22.9,76.8,65.8,65.8
Prunella rubida,NA,58,16.7,Mean,Prunellidae,Passeriformes,20.8,69.6,57,57
Prunella strophiata,54.5,59.33333333,18.1,Mean,Prunellidae,Passeriformes,19.6,63.1,57.4,57.4
Psalidoprocne albiceps,64.86666667,69.725,11.1,Mean,Hirundinidae,Passeriformes,10,101.2,67.6,67.6
Psalidoprocne fuliginosa,59.5,54.85,12.2,Mean,Hirundinidae,Passeriformes,9.6,99.4,57.2,57.2
Psalidoprocne nitens,47.75,55.42,9.8,Mean,Hirundinidae,Passeriformes,10,94,52,52
Psalidoprocne obscura,65.5,92.16,9.4,Mean,Hirundinidae,Passeriformes,9,92.2,84.9,84.9
Psalidoprocne pristoptera,71.87142857,84.38333333,10.3,Mean,Hirundinidae,Passeriformes,9.2,105.9,80.3,80.3
Psaltria exilis,39.5,44,4,Mean,Aegithalidae,Passeriformes,13.1,41.6,41.8,41.8
Psaltriparus minimus,52,52.5,5.3,Mean,Aegithalidae,Passeriformes,15.7,45.2,52.2,52.2
Psarisomus dalhousiae,125.25,129.3,67,Mean,Eurylaimidae,Passeriformes,25.1,101.3,128.1,128.1
Psarocolius angustifrons,156.7142857,201.6428571,271.5,Mean,Icteridae,Passeriformes,45.6,209.9,179.2,179.2
Psarocolius atrovirens,134.0714286,169.3333333,152,Mean,Icteridae,Passeriformes,43.9,202.7,150.3,150.3
Psarocolius bifasciatus,146.1,181.75,335.7,Mean,Icteridae,Passeriformes,50.6,231.7,165.5,165.5
Psarocolius cassini,NA,220,383.9,Mean,Icteridae,Passeriformes,59.5,235,220,220
Psarocolius decumanus,153.6875,192.4166667,206.3,Mean,Icteridae,Passeriformes,46.5,198.6,170.3,170.3
Psarocolius guatimozinus,171,189.2333333,405.3,Mean,Icteridae,Passeriformes,51,217.4,184.7,184.7
Psarocolius montezuma,160,177.6142857,309.9,Mean,Icteridae,Passeriformes,52.2,220,167.3,167.3
Psarocolius viridis,141.6666667,164,287,Mean,Icteridae,Passeriformes,50.3,219.7,152.8,152.8
Psarocolius wagleri,102.5,136,155.5,Mean,Icteridae,Passeriformes,35.7,182,119.2,119.2
Pseudasthenes cactorum,67,NA,17.4,Mean,Furnariidae,Passeriformes,20.5,59,66.2,66.2
Pseudasthenes humicola,77,71.5,20.8,Mean,Furnariidae,Passeriformes,22.1,61.4,74,74
Pseudasthenes patagonica,63,NA,16.4,Mean,Furnariidae,Passeriformes,20.1,56.7,65.7,65.7
Pseudasthenes steinbachi,81.5,90,19.5,Mean,Furnariidae,Passeriformes,22.3,64.7,83.8,83.8
Pseudelaenia leucospodia,50.25,54,11.9,Mean,Tyrannidae,Passeriformes,18.2,59.9,52.5,52.5
Pseudhirundo griseopyga,70.325,75.95,10.2,Mean,Hirundinidae,Passeriformes,11.3,95.5,73.1,73.1
Pseudobias wardi,62.5,62.57142857,12.7,Mean,Vangidae,Passeriformes,15.3,76.7,63.1,63.1
Pseudocalyptomena graueri,38,NA,31.8,Mean,Eurylaimidae,Passeriformes,19.1,63,38,38
Pseudochelidon eurystomina,48.5,51.5,26,Mean,Hirundinidae,Passeriformes,13.8,118.9,50.8,50.8
Pseudocolaptes boissonneautii,90.075,97.94615385,43.9,Mean,Furnariidae,Passeriformes,26,105.6,95.2,95.2
Pseudocolaptes lawrencii,95.57142857,97,51,Mean,Furnariidae,Passeriformes,25.7,106,96.3,96.3
Pseudocolopteryx acutipennis,43.6,45,6.9,Mean,Tyrannidae,Passeriformes,18.3,47.4,44.3,44.3
Pseudocolopteryx citreola,NA,49,7.5,Mean,Tyrannidae,Passeriformes,18.8,49.3,49.2,49.2
Pseudocolopteryx dinelliana,NA,48.75,7.5,Mean,Tyrannidae,Passeriformes,18.1,46.6,48.8,48.8
Pseudocolopteryx flaviventris,49.5,51.93333333,7.5,Mean,Tyrannidae,Passeriformes,18.5,48.4,51,51
Pseudocolopteryx sclateri,44.8,44.86666667,8,Mean,Tyrannidae,Passeriformes,17,42,43.9,43.9
Pseudoleistes guirahuro,80.5,91,86.4,Mean,Icteridae,Passeriformes,34.4,119.8,86.8,86.8
Pseudoleistes virescens,85,93.66666667,79.9,Mean,Icteridae,Passeriformes,32.1,114.8,90.2,90.2
Pseudonestor xanthophrys,44.5,46,22.1,Mean,Fringillidae,Passeriformes,21.9,72.2,45.4,45.4
Pseudonigrita arnaudi,35.5,39.33333333,20,Mean,Ploceidae,Passeriformes,18.3,65.5,37.8,37.8
Pseudonigrita cabanisi,48.5,48.66666667,20.6,Mean,Ploceidae,Passeriformes,18,65.8,48.6,48.6
Pseudopipra pipra,26.56666667,26.675,11.1,Mean,Pipridae,Passeriformes,14.1,62,26.6,26.6
Pseudopodoces humilis,64,62.66666667,45.4,Mean,Paridae,Passeriformes,28.4,88.6,63.3,63.3
Pseudorectes ferrugineus,112,108.6666667,93.9,Mean,Pachycephalidae,Passeriformes,36.2,134.1,109.5,109.5
Pseudorectes incertus,90,94.5,75,Mean,Pachycephalidae,Passeriformes,30.5,111.6,93,93
Pseudosaltator rufiventris,100.5,111,74.2,Mean,Thraupidae,Passeriformes,31.9,116.1,103.6,103.6
Pseudoseisura cristata,91.9,106.275,53.6,Mean,Furnariidae,Passeriformes,28.2,104.8,101.3,101.3
Pseudoseisura gutturalis,90.66666667,90,70.4,Mean,Furnariidae,Passeriformes,33.5,102.3,90.8,90.8
Pseudoseisura lophotes,106.6666667,NA,72.2,Mean,Furnariidae,Passeriformes,33.5,118.5,106.5,106.5
Pseudospingus verticalis,NA,59,14,Mean,Thraupidae,Passeriformes,23.7,72.1,71.5,71.5
Pseudospingus xanthophthalmus,69,67,12,Mean,Thraupidae,Passeriformes,20,66.6,67.1,67.1
Pseudotriccus pelzelni,41,45.5,10.9,Mean,Tyrannidae,Passeriformes,19.3,53.8,43.2,43.2
Pseudotriccus ruficeps,44.25,42.4,11.3,Mean,Tyrannidae,Passeriformes,22.7,55.8,43,43
Pseudotriccus simplex,43.66666667,41.83333333,9.5,Mean,Tyrannidae,Passeriformes,19.7,53.9,43.4,43.4
Psilorhamphus guttatus,55.35,60.66666667,11.3,Mean,Rhinocryptidae,Passeriformes,25.1,49.1,57.8,57.8
Psilorhinus morio,205.36,204,204,Mean,Corvidae,Passeriformes,49.6,201.3,202.8,202.8
Psittiparus bakeri,73.5,86.25,32,Mean,Sylviidae,Passeriformes,26.3,86,79.9,79.9
Psittiparus gularis,85,83.83333333,29,Mean,Sylviidae,Passeriformes,24.8,86.7,84.3,84.3
Psittiparus margaritae,81,NA,29,Mean,Sylviidae,Passeriformes,25,82,81,81
Psittiparus ruficeps,NA,86,32,Mean,Sylviidae,Passeriformes,24.3,86,86,86
Psittirostra psittacea,49.5,59.16666667,28.6,Mean,Fringillidae,Passeriformes,23.1,90,55.3,55.3
Psophocichla litsitsirupa,65.975,73.86666667,74,Mean,Turdidae,Passeriformes,34.6,129.5,70.8,70.8
Psophodes cristatus,92.9,96.9,40.7,Mean,Psophodidae,Passeriformes,23.7,80,95.4,95.4
Psophodes nigrogularis,NA,112.5,44.5,Mean,Psophodidae,Passeriformes,27.9,80.5,116,116
Psophodes occidentalis,102.75,106.1,39.6,Mean,Psophodidae,Passeriformes,24,79.6,104.6,104.6
Psophodes olivaceus,114.5,124,62.4,Mean,Psophodidae,Passeriformes,31.5,94.9,133.6,133.6
Pteroptochos castaneus,91,85.425,160.6,Mean,Rhinocryptidae,Passeriformes,44.8,103.1,87.3,87.3
Pteroptochos megapodius,79,79.14,114,Mean,Rhinocryptidae,Passeriformes,42.2,98,79.1,79.1
Pteroptochos tarnii,87.96666667,91.76,147,Mean,Rhinocryptidae,Passeriformes,45.4,103.1,89.7,89.7
Pterorhinus albogularis,131.25,136.3333333,97.6,Mean,Leiotrichidae,Passeriformes,41,126,134.3,134.3
Pterorhinus berthemyi,123,130.6666667,72,Mean,Leiotrichidae,Passeriformes,37.1,114.2,127.6,127.6
Pterorhinus caerulatus,119.5,120.5,85.7,Mean,Leiotrichidae,Passeriformes,40.7,104.5,120,120
Pterorhinus chinensis,114.5,120.5,88.5,Mean,Leiotrichidae,Passeriformes,39.2,113,117.5,117.5
Pterorhinus davidi,114.5,122,56.2,Mean,Leiotrichidae,Passeriformes,32.6,89.2,119,119
Pterorhinus delesserti,107.3333333,99,78,Mean,Leiotrichidae,Passeriformes,37.3,106.7,104,104
Pterorhinus galbanus,100,108,56,Mean,Leiotrichidae,Passeriformes,32.5,93.7,104.8,104.8
Pterorhinus gularis,100,102,92,Mean,Leiotrichidae,Passeriformes,39,102.1,101.2,101.2
Pterorhinus koslowi,NA,147,112.5,Mean,Leiotrichidae,Passeriformes,39.6,126,147,147
Pterorhinus lanceolatus,118.5,124.3333333,80.5,Mean,Leiotrichidae,Passeriformes,35.2,95.4,122,122
Pterorhinus mitratus,106.5,116.3333333,62,Mean,Leiotrichidae,Passeriformes,34.7,100.6,112.4,112.4
Pterorhinus nuchalis,112,114.3333333,78,Mean,Leiotrichidae,Passeriformes,39.5,108.2,113.4,113.4
Pterorhinus pectoralis,138.25,133.6666667,145.1,Mean,Leiotrichidae,Passeriformes,46.2,141.6,135.5,135.5
Pterorhinus perspicillatus,154.75,142,117.8,Mean,Leiotrichidae,Passeriformes,41.9,123.6,147.1,147.1
Pterorhinus poecilorhynchus,114,122,72,Mean,Leiotrichidae,Passeriformes,40.5,107.6,120.8,120.8
Pterorhinus ruficeps,130,132,97.6,Mean,Leiotrichidae,Passeriformes,43.3,123.5,131,131
Pterorhinus ruficollis,105.75,106.6666667,66.2,Mean,Leiotrichidae,Passeriformes,35.2,97,106.3,106.3
Pterorhinus sannio,116,120,67.8,Mean,Leiotrichidae,Passeriformes,34.5,96.3,118.4,118.4
Pterorhinus treacheri,110,112,62,Mean,Leiotrichidae,Passeriformes,34.8,103.5,111,111
Pterorhinus vassali,121,121,88.5,Mean,Leiotrichidae,Passeriformes,37.9,107.1,121,121
Pterorhinus waddelli,156.5,160,46,Mean,Leiotrichidae,Passeriformes,42.4,130,158.2,158.2
Pterorhinus woodi,NA,167.5,80.5,Mean,Leiotrichidae,Passeriformes,41.9,131.5,167.5,167.5
Pteruthius aenobarbus,NA,47,11.8,Mean,Vireonidae,Passeriformes,18,59,47,47
Pteruthius annamensis,NA,53,38.7,Mean,Vireonidae,Passeriformes,27.5,79.8,53,53
Pteruthius flaviscapis,48,48.28571429,38.7,Mean,Vireonidae,Passeriformes,24.7,70.1,48.2,48.2
Pteruthius intermedius,44,40.4,11.8,Mean,Vireonidae,Passeriformes,19.4,59.2,41.1,41.1
Pteruthius melanotis,42,41.25,13.3,Mean,Vireonidae,Passeriformes,19.9,59.3,41.4,41.4
Pteruthius ripleyi,NA,57.16666667,38.7,Mean,Vireonidae,Passeriformes,28.2,80.2,57.2,57.2
Pteruthius rufiventer,87.5,80.3125,43,Mean,Vireonidae,Passeriformes,30.1,89,81.8,81.8
Pteruthius xanthochlorus,45.5,46,14.3,Mean,Vireonidae,Passeriformes,21.6,62,45.9,45.9
Ptiliogonys caudatus,120,130,36.2,Mean,Ptiliogonatidae,Passeriformes,18.1,96.4,125,125
Ptiliogonys cinereus,93,101.6666667,33.6,Mean,Ptiliogonatidae,Passeriformes,16.7,92.6,98.2,98.2
Ptilocichla falcata,63.5,66,39.5,Mean,Pellorneidae,Passeriformes,30.8,83,64.8,64.8
Ptilocichla leucogrammica,43,47,39.5,Mean,Pellorneidae,Passeriformes,31.4,79.8,45.4,45.4
Ptilocichla mindanensis,39.5,45.5,29.2,Mean,Pellorneidae,Passeriformes,25.9,68.8,42.5,42.5
Ptilonorhynchus violaceus,119.3333333,103.75,218.9,Mean,Ptilonorhynchidae,Passeriformes,50.4,164.9,111.3,111.3
Ptiloprora erythropleura,65.5,68.66666667,21.1,Mean,Meliphagidae,Passeriformes,22.3,77.6,67.4,67.4
Ptiloprora guisei,68,77,25.8,Mean,Meliphagidae,Passeriformes,25.8,87.6,73.9,73.9
Ptiloprora mayri,80,85.66666667,30.5,Mean,Meliphagidae,Passeriformes,28.6,95.1,83.4,83.4
Ptiloprora meekiana,69.75,NA,18.5,Mean,Meliphagidae,Passeriformes,23,76.4,68.3,68.3
Ptiloprora perstriata,81.5,87,26.6,Mean,Meliphagidae,Passeriformes,27.2,93.7,82.7,82.7
Ptiloprora plumbea,62,70,14.1,Mean,Meliphagidae,Passeriformes,23.1,76.1,64.6,64.6
Ptilorrhoa caerulescens,92,89.2,49,Mean,Cinclosomatidae,Passeriformes,32.2,88.1,90,90
Ptilorrhoa castanonota,97.5,97.55555556,69.7,Mean,Cinclosomatidae,Passeriformes,34.6,93,97.5,97.5
Ptilorrhoa geislerorum,99,94.83333333,49,Mean,Cinclosomatidae,Passeriformes,32.7,90.4,96.9,96.9
Ptilorrhoa leucosticta,95.5,88.14285714,49.2,Mean,Cinclosomatidae,Passeriformes,32.1,79.7,89.8,89.8
Ptilostomus afer,275.6666667,252.1111111,128,Mean,Corvidae,Passeriformes,48.2,165.1,258,258
Ptilotula flavescens,58.33333333,62.33333333,12.4,Mean,Meliphagidae,Passeriformes,17.8,72.7,59.1,59.1
Ptilotula fusca,66.41666667,66.9,17.7,Mean,Meliphagidae,Passeriformes,18.9,81,66.5,66.5
Ptilotula keartlandi,80.5,73,15.2,Mean,Meliphagidae,Passeriformes,20.7,77.4,66.1,66.1
Ptilotula ornata,68,70,17.6,Mean,Meliphagidae,Passeriformes,19.1,81.5,67.8,67.8
Ptilotula penicillata,67.25,74.8,19.4,Mean,Meliphagidae,Passeriformes,19.8,79,70,70
Ptilotula plumula,69,70.33333333,16.5,Mean,Meliphagidae,Passeriformes,19.3,77.5,65.9,65.9
Ptiloxena atroviolacea,96.5,109.3333333,83.6,Mean,Icteridae,Passeriformes,29.6,132.2,104.2,104.2
Ptyonoprogne concolor,48.325,49.55,13,Mean,Hirundinidae,Passeriformes,9.9,107.1,48.9,48.9
Ptyonoprogne fuligula,54.87692308,53.36363636,21.1,Mean,Hirundinidae,Passeriformes,11.4,123.5,54.2,54.2
Ptyonoprogne rupestris,57.94,61.3,20.4,Mean,Hirundinidae,Passeriformes,11.5,129.5,59.4,59.4
Purnella albifrons,71.5,81.5,17.4,Mean,Meliphagidae,Passeriformes,20.2,80.7,72.4,72.4
Pycnonotus aurigaster,86,80.5,44.3,Mean,Pycnonotidae,Passeriformes,21.9,91.8,82.4,82.4
Pycnonotus barbatus,81.11538462,85.84615385,32.1,Mean,Pycnonotidae,Passeriformes,21.2,93.6,85.3,85.3
Pycnonotus bimaculatus,NA,93.75,30,Mean,Pycnonotidae,Passeriformes,20,86.2,93.8,93.8
Pycnonotus blanfordi,77,84.66666667,33.4,Mean,Pycnonotidae,Passeriformes,19,82.6,81.6,81.6
Pycnonotus brunneus,68,73.5,28.8,Mean,Pycnonotidae,Passeriformes,18.9,82.2,71.7,71.7
Pycnonotus cafer,89.5,84.5,42.9,Mean,Pycnonotidae,Passeriformes,21.3,94.5,86.2,86.2
Pycnonotus capensis,83.5,89,38.6,Mean,Pycnonotidae,Passeriformes,22,92.8,86.2,86.2
Pycnonotus finlaysoni,79.5,78.66666667,26.3,Mean,Pycnonotidae,Passeriformes,18.3,80,79,79
Pycnonotus flavescens,89,90.33333333,28.9,Mean,Pycnonotidae,Passeriformes,19.5,85.4,89.8,89.8
Pycnonotus goiavier,NA,78,27.8,Mean,Pycnonotidae,Passeriformes,20.9,87,77.2,77.2
Pycnonotus jocosus,84,91.4,29.5,Mean,Pycnonotidae,Passeriformes,20.5,86.8,88.1,88.1
Pycnonotus leucogenys,89.5,93.33333333,35.9,Mean,Pycnonotidae,Passeriformes,20.7,93.4,91.8,91.8
Pycnonotus leucogrammicus,94,82,33.5,Mean,Pycnonotidae,Passeriformes,15.5,86.5,83,83
Pycnonotus leucotis,85,82,27.1,Mean,Pycnonotidae,Passeriformes,20,84.6,83.2,83.2
Pycnonotus luteolus,77.5,80.5,34.7,Mean,Pycnonotidae,Passeriformes,21.4,83.2,79,79
Pycnonotus nieuwenhuisii,NA,68.7,25.5,Mean,Pycnonotidae,Passeriformes,16.4,84.7,68.7,68.7
Pycnonotus nigricans,NA,76,30.8,Mean,Pycnonotidae,Passeriformes,21.6,92.8,77.2,77.2
Pycnonotus penicillatus,75.5,82.5,36.5,Mean,Pycnonotidae,Passeriformes,20.8,79.2,79,79
Pycnonotus plumosus,72,75,34.9,Mean,Pycnonotidae,Passeriformes,20.4,83.1,71.6,71.6
Pycnonotus pseudosimplex,68,NA,25.1,Mean,Pycnonotidae,Passeriformes,18,74,68,68
Pycnonotus simplex,67,68,25.1,Mean,Pycnonotidae,Passeriformes,17.5,79.6,67.5,67.5
Pycnonotus sinensis,78.6,85.6,34.2,Mean,Pycnonotidae,Passeriformes,21.6,86.7,82.1,82.1
Pycnonotus striatus,94,98,52,Mean,Pycnonotidae,Passeriformes,18.2,104.6,96.8,96.8
Pycnonotus taivanus,83.1,76,26.1,Mean,Pycnonotidae,Passeriformes,19.8,88.1,79.6,79.6
Pycnonotus tympanistrigus,70,72,33.5,Mean,Pycnonotidae,Passeriformes,14.5,74.5,71,71
Pycnonotus xantholaemus,88,88,28.1,Mean,Pycnonotidae,Passeriformes,18.6,87.5,87,87
Pycnonotus xanthopygos,88.75,89.6,37.6,Mean,Pycnonotidae,Passeriformes,21.7,92.4,89.2,89.2
Pycnonotus xanthorrhous,93,95,26.9,Mean,Pycnonotidae,Passeriformes,20,90.6,94.6,94.6
Pycnonotus zeylanicus,109,108,86.3,Mean,Pycnonotidae,Passeriformes,24.1,114.4,105.4,105.4
Pycnoptilus floccosus,NA,70,28.9,Mean,Acanthizidae,Passeriformes,27.9,69,71.5,71.5
Pycnopygius cinereus,88.5,NA,44.8,Mean,Meliphagidae,Passeriformes,28.2,106.5,94,94
Pycnopygius ixoides,67,73,27.6,Mean,Meliphagidae,Passeriformes,22,82.4,69.4,69.4
Pycnopygius stictocephalus,88.33333333,88,38.5,Mean,Meliphagidae,Passeriformes,22.3,107.3,88.9,88.9
Pygarrhichas albogularis,54,56,24,Mean,Furnariidae,Passeriformes,19.3,79.9,56.1,56.1
Pygiptila stellaris,40.68571429,40.41428571,24.1,Mean,Thamnophilidae,Passeriformes,20,76.8,40.5,40.5
Pygochelidon cyanoleuca,48.72222222,49.16,9.7,Mean,Hirundinidae,Passeriformes,10.1,92.3,48.8,48.8
Pygochelidon melanoleuca,49.85,77.1,10.8,Mean,Hirundinidae,Passeriformes,10.4,91.7,64.8,64.8
Pyrenestes minor,53,53.5,14,Mean,Estrildidae,Passeriformes,16.2,59.2,53.2,53.2
Pyrenestes ostrinus,53.5,54,22.4,Mean,Estrildidae,Passeriformes,18.4,65.4,53.8,53.8
Pyrenestes sanguineus,46.66666667,50,19.2,Mean,Estrildidae,Passeriformes,18.4,60,48.3,48.3
Pyriglena atra,69.93333333,74.46,32,Mean,Thamnophilidae,Passeriformes,28,76.4,72.8,72.8
Pyriglena leuconota,71.87142857,73.5375,32.3,Mean,Thamnophilidae,Passeriformes,28.9,76,72.8,72.8
Pyriglena leucoptera,74.34,76.46666667,28.8,Mean,Thamnophilidae,Passeriformes,29.7,78,75.7,75.7
Pyriglena maura,72.91666667,83.4,32.3,Mean,Thamnophilidae,Passeriformes,31.5,74.7,79.8,79.8
Pyriglena similis,NA,77,32.3,Mean,Thamnophilidae,Passeriformes,33.6,79.5,77,77
Pyrocephalus nanus,59.5,57,14.4,Mean,Tyrannidae,Passeriformes,19.9,63.2,58.2,58.2
Pyrocephalus rubinus,56.5,57.60714286,14.4,Mean,Tyrannidae,Passeriformes,16.7,74.3,57.6,57.6
Pyroderus scutatus,150.3666667,154.5,357,Mean,Cotingidae,Passeriformes,38,231,152.2,152.2
Pyrope pyrope,81.925,87,35.3,Mean,Tyrannidae,Passeriformes,27.2,107,84.4,84.4
Pyrrhocorax graculus,159.5,164.4444444,211,Mean,Corvidae,Passeriformes,43.8,267.4,163.5,163.5
Pyrrhocorax pyrrhocorax,134,133.2,276.7,Mean,Corvidae,Passeriformes,52.5,284.5,133.3,133.3
Pyrrholaemus brunneus,49.2,54,12.5,Mean,Acanthizidae,Passeriformes,20.7,56,48.5,48.5
Pyrrholaemus sagittatus,49.5,50.75,13.3,Mean,Acanthizidae,Passeriformes,20,60.8,48.9,48.9
Pyrrhomyias cinnamomeus,63.1,61.97727273,9.9,Mean,Tyrannidae,Passeriformes,12.8,69.9,61.3,61.3
Pyrrhoplectes epauletta,58,56,19,Mean,Fringillidae,Passeriformes,18.8,75.8,56.8,56.8
Pyrrhula aurantiaca,59,57.5,19.3,Mean,Fringillidae,Passeriformes,15.2,77.9,58.2,58.2
Pyrrhula erythaca,72,71.83333333,19,Mean,Fringillidae,Passeriformes,17.5,81.7,71.9,71.9
Pyrrhula erythrocephala,66.5,65.66666667,22.3,Mean,Fringillidae,Passeriformes,16.5,77.4,66,66
Pyrrhula leucogenis,65.5,NA,19,Mean,Fringillidae,Passeriformes,17.2,77,67,67
Pyrrhula murina,70.75,71.16666667,30,Mean,Fringillidae,Passeriformes,20.8,83.7,71,71
Pyrrhula nipalensis,74,75.66666667,24.6,Mean,Fringillidae,Passeriformes,16.4,85.9,75,75
Pyrrhula pyrrhula,67.5,69,24.3,Mean,Fringillidae,Passeriformes,18,88.6,68.3,68.3
Pytilia afra,34,36,16.6,Mean,Estrildidae,Passeriformes,16,62.8,35.2,35.2
Pytilia hypogrammica,32,35.66666667,14.8,Mean,Estrildidae,Passeriformes,16,55.2,34.2,34.2
Pytilia lineata,33,35.66666667,14.3,Mean,Estrildidae,Passeriformes,16.6,56.5,35,35
Pytilia melba,47.5,47.33333333,15.4,Mean,Estrildidae,Passeriformes,16.7,56.6,47.4,47.4
Pytilia phoenicoptera,43,34,14.5,Mean,Estrildidae,Passeriformes,15.4,55.2,38.5,38.5
Quelea cardinalis,32.25,32.91666667,12.7,Mean,Ploceidae,Passeriformes,16.8,58.1,32.8,32.8
Quelea erythrops,33.75,35,19.3,Mean,Ploceidae,Passeriformes,17.4,60.4,34.4,34.4
Quelea quelea,38.375,39.1,18.6,Mean,Ploceidae,Passeriformes,18,66.1,38.8,38.8
Querula purpurata,116.1428571,119.0714286,107.4,Mean,Cotingidae,Passeriformes,24.3,178.2,117.6,117.6
Quiscalus lugubris,81.14285714,85.33333333,63,Mean,Icteridae,Passeriformes,28.7,106,82.4,82.4
Quiscalus major,129,160,151.2,Mean,Icteridae,Passeriformes,42.8,155,141.4,141.4
Quiscalus mexicanus,137,196.5,160.5,Mean,Icteridae,Passeriformes,47.9,168.6,170.1,170.1
Quiscalus nicaraguensis,104,137.6666667,63.4,Mean,Icteridae,Passeriformes,33.4,118,124.2,124.2
Quiscalus niger,101.5,109.8,72.2,Mean,Icteridae,Passeriformes,35.6,135.6,108.4,108.4
Quiscalus quiscula,119,117.5833333,105.2,Mean,Icteridae,Passeriformes,35.6,132.9,118.2,118.2
Ramphocaenus melanurus,42.7,42.4,9.7,Mean,Polioptilidae,Passeriformes,21.8,50.2,41.5,41.5
Ramphocelus bresilius,78.16666667,81.675,32.9,Mean,Thraupidae,Passeriformes,21,82.3,80.2,80.2
